job_id	job_name	state	exit_code	submit	start	end	elapsed	node_list
8237968	adp-cond-scale_swe_distilled	CANCELLED by 17414	0:0	2026-06-02T01:07:31	2026-06-02T01:09:27	2026-06-02T06:52:05	05:42:38	babel-q9-20
8237969	adp-cond-hybrid-gym	CANCELLED by 17414	0:0	2026-06-02T01:07:31	2026-06-02T01:10:32	2026-06-02T06:52:05	05:41:33	babel-t5-28
8237970	adp-cond-nvidia_SWE-Zero-ope	CANCELLED by 17414	0:0	2026-06-02T01:07:31	2026-06-02T01:10:32	2026-06-02T06:52:05	05:41:33	babel-x5-24
8237971	adp-cond-gair_davinci_dev	FAILED	1:0	2026-06-02T01:07:31	2026-06-02T01:10:32	2026-06-02T01:10:35	00:00:03	babel-u9-20
8237972	adp-cond-allenai_Sera-4.6-Li	FAILED	1:0	2026-06-02T01:07:31	2026-06-02T01:11:04	2026-06-02T01:13:21	00:02:17	babel-u9-20
8237973	adp-cond-nebius_SWE-agent-tr	CANCELLED by 17414	0:0	2026-06-02T01:07:31	2026-06-02T01:11:38	2026-06-02T06:52:05	05:40:27	babel-w5-32
8240319	adp-cond-swe-play-trajectories	COMPLETED	0:0	2026-06-02T07:27:55	2026-06-02T07:28:08	2026-06-02T10:30:13	03:02:05	babel-q9-28
8240320	adp-cond-mini-coder	TIMEOUT	0:0	2026-06-02T07:27:55	2026-06-02T07:28:08	2026-06-02T19:28:35	12:00:27	babel-t5-28
8240321	adp-cond-coderforge_preview	FAILED	1:0	2026-06-02T07:27:55	2026-06-02T07:28:08	2026-06-02T07:31:30	00:03:22	babel-v9-28
8240322	adp-cond-nebius_SWE-rebench-openh	TIMEOUT	0:0	2026-06-02T07:27:55	2026-06-02T07:28:08	2026-06-02T19:28:35	12:00:27	babel-w5-28
8240323	adp-cond-kwai-klear_swe-smith-min	TIMEOUT	0:0	2026-06-02T07:27:55	2026-06-02T07:28:08	2026-06-02T19:28:35	12:00:27	babel-x9-24
8240324	adp-cond-logicstar_swe-star	TIMEOUT	0:0	2026-06-02T07:27:55	2026-06-02T07:28:08	2026-06-02T19:28:35	12:00:27	babel-u5-24
8240325	adp-cond-scale_swe_distilled	CANCELLED by 17414	0:0	2026-06-02T07:27:55	2026-06-02T07:28:08	2026-06-02T07:28:49	00:00:41	babel-n9-24
8240326	adp-cond-hybrid-gym	CANCELLED by 17414	0:0	2026-06-02T07:27:55	2026-06-02T07:28:08	2026-06-02T07:28:49	00:00:41	babel-n9-28
8240327	adp-cond-nvidia_SWE-Zero-openhand	CANCELLED by 17414	0:0	2026-06-02T07:27:55	2026-06-02T07:28:08	2026-06-02T07:28:50	00:00:42	babel-w5-16
8240328	adp-cond-gair_davinci_dev	FAILED	1:0	2026-06-02T07:27:55	2026-06-02T07:28:08	2026-06-02T07:28:13	00:00:05	babel-w5-20
8240329	adp-cond-allenai_Sera-4.6-Lite-T2	CANCELLED by 17414	0:0	2026-06-02T07:27:55	2026-06-02T07:28:44	2026-06-02T07:28:51	00:00:07	babel-w5-20
8240330	adp-cond-nebius_SWE-agent-traject	CANCELLED by 17414	0:0	2026-06-02T07:27:55	None	2026-06-02T07:28:52	00:00:00	None assigned
8240340	adp-cond-pair-scale_swe_dist	CANCELLED by 17414	0:0	2026-06-02T07:28:55	2026-06-02T07:29:19	2026-06-02T07:29:39	00:00:20	babel-m5-20
8240341	adp-cond-pair-hybrid-gym	CANCELLED by 17414	0:0	2026-06-02T07:28:55	2026-06-02T07:29:19	2026-06-02T07:29:39	00:00:20	babel-n9-24
8240342	adp-cond-pair-nvidia_SWE-Zer	CANCELLED by 17414	0:0	2026-06-02T07:28:55	2026-06-02T07:29:19	2026-06-02T07:29:39	00:00:20	babel-n9-28
8240343	adp-cond-pair-gair_davinci_d	CANCELLED by 17414	0:0	2026-06-02T07:28:55	2026-06-02T07:29:19	2026-06-02T07:29:39	00:00:20	babel-w5-16
8240344	adp-cond-pair-allenai_Sera-4	CANCELLED by 17414	0:0	2026-06-02T07:28:55	None	2026-06-02T07:29:39	00:00:00	None assigned
8240345	adp-cond-pair-nebius_SWE-age	CANCELLED by 17414	0:0	2026-06-02T07:28:55	None	2026-06-02T07:29:39	00:00:00	None assigned
8240349	adp-cond-pair-scale_swe_dist	TIMEOUT	0:0	2026-06-02T07:29:42	2026-06-02T07:29:51	2026-06-02T19:30:04	12:00:13	babel-m5-20
8240350	adp-cond-pair-hybrid-gym	FAILED	1:0	2026-06-02T07:29:43	2026-06-02T07:29:51	2026-06-02T15:36:40	08:06:49	babel-w9-24
8240351	adp-cond-pair-nvidia_SWE-Zer	TIMEOUT	0:0	2026-06-02T07:29:43	2026-06-02T07:29:51	2026-06-02T19:30:04	12:00:13	babel-n9-24
8240352	adp-cond-pair-gair_davinci_d	TIMEOUT	0:0	2026-06-02T07:29:43	2026-06-02T07:29:51	2026-06-02T19:30:04	12:00:13	babel-n9-28
8240353	adp-cond-pair-allenai_Sera-4	FAILED	1:0	2026-06-02T07:29:43	2026-06-02T07:31:57	2026-06-02T18:37:29	11:05:32	babel-m5-16
8240354	adp-cond-pair-nebius_SWE-age	FAILED	1:0	2026-06-02T07:29:43	2026-06-02T10:30:43	2026-06-02T15:52:33	05:21:50	babel-o9-20
8240383	adp-cond-gair_davinci_dev	CANCELLED by 17414	0:0	2026-06-02T07:34:05	None	2026-06-02T07:35:38	00:00:00	None assigned
8240411	adp-cond-gair_davinci_dev	TIMEOUT	0:0	2026-06-02T07:38:14	2026-06-02T15:37:03	2026-06-03T03:37:21	12:00:18	babel-p9-28
8240756	adp-qwen35-4b-32k-smoke24k	COMPLETED	0:0	2026-06-02T08:47:59	2026-06-02T08:50:33	2026-06-02T09:06:52	00:16:19	babel-q9-20
8241619	adp-qwen35-4b-32k-cond24k	FAILED	1:0	2026-06-02T12:02:22	2026-06-02T12:05:15	2026-06-02T12:05:44	00:00:29	babel-o9-16
8241742	adp-qwen35-4b-32k-smoke-as-is	FAILED	1:0	2026-06-02T12:27:52	2026-06-02T12:30:48	2026-06-02T12:31:28	00:00:40	babel-o9-16
8242279	adp-qwen35-4b-32k-smoke-adapter	COMPLETED	0:0	2026-06-02T13:53:28	2026-06-02T13:53:32	2026-06-02T14:09:11	00:15:39	babel-q9-20
